"admin2Name","admin1Name","Shape_Leng","Shape_Area","LGA","ID","Area_km2","clust"
"Okobo","Akwa Ibom",0.711861944452,0.0245426300102,"Okobo",560,301.056410761803,"3_1"
"Onna","Akwa Ibom",0.654078483002,0.0133591664049,"Onna",577,163.916741132962,"3_1"
"Oron","Akwa Ibom",0.295065142584,0.00425037837432,"Oron",586,52.1389176899128,"3_1"
"Oruk Anam","Akwa Ibom",1.04344249832,0.0443836585022,"Oruk Anam",590,544.448018016932,"3_1"
"Udung Uko","Akwa Ibom",0.340002516418,0.00478349767149,"Udung Uko",690,58.6835375625326,"3_1"
"Ukanafun","Akwa Ibom",0.568350762256,0.0177970134954,"Ukanafun",695,218.292546764191,"3_1"
"Uruan","Akwa Ibom",0.859557869918,0.0282706356822,"Uruan",705,346.690474121882,"3_1"
"Urue-Offong/Oruko","Akwa Ibom",0.519025768522,0.00943816244826,"Urue-Offong/Oruko",706,115.79194845133,"3_1"
"Uyo","Akwa Ibom",0.968980982461,0.0149742940421,"Uyo",710,183.634749305041,"3_1"
"Aguata","Anambra",0.675251657029,0.0141702327108,"Aguata",22,173.497698094052,"4_1"
"Anambra East","Anambra",0.759546927297,0.021152285817,"Anambra East",50,258.827538529833,"4_1"
"Anambra West","Anambra",1.53023553221,0.0779629284201,"Anambra West",51,953.646031167599,"4_1"
"Anaocha","Anambra",0.43748927158,0.0082307882823,"Anaocha",52,100.756677893309,"4_1"
"Awka North","Anambra",0.689468203302,0.0282289402539,"Awka North",75,345.401659969636,"4_1"
"Awka South","Anambra",0.463895590984,0.0141700321256,"Awka South",76,173.427653537762,"4_1"
"Ayamelum","Anambra",1.12392749235,0.0482660096901,"Ayamelum",77,590.322788129775,"4_1"
"Njikoka","Anambra",0.461661046994,0.00796170529285,"Njikoka",156,97.4453443166574,"4_1"
"Ekwusigo","Anambra",0.551291869084,0.0099576327232,"Ekwusigo",180,121.917520762851,"4_1"
"Idemili North","Anambra",0.554048399156,0.010816902749,"Idemili North",280,132.405360113585,"4_1"
"Idemili South","Anambra",0.60134821894,0.0107220941774,"Idemili South",281,131.258738943255,"4_1"
"Ihiala","Anambra",0.710830236118,0.0196649531478,"Ihiala",300,240.830178147653,"4_1"
"Dunukofia","Anambra",0.466084952604,0.004360729904,"Dunukofia",505,53.3672895018045,"4_1"
"Nnewi North","Anambra",0.331040378218,0.00560197241389,"Nnewi North",509,68.5861783036116,"4_1"
"Nnewi South","Anambra",0.559230354681,0.012595602059,"Nnewi South",510,154.227585095382,"4_1"
"Ogbaru","Anambra",1.13746947398,0.0422799493025,"Ogbaru",537,517.754052911073,"4_1"
"Onitsha North","Anambra",0.254337002389,0.00307348861148,"Onitsha North",575,37.6188061052902,"4_1"
"Onitsha South","Anambra",0.126353783799,0.000810394426424,"Onitsha South",576,9.91953493291147,"4_1"
"Orumba North","Anambra",0.942610559155,0.0262224340592,"Orumba North",591,320.991718110448,"4_1"
"Orumba South","Anambra",0.726566752068,0.0153748029845,"Orumba South",592,188.242180156023,"4_1"
"Oyi","Anambra",0.46152623034,0.0110368800475,"Oyi",609,135.074421047522,"4_1"
"Alkaleri","Bauchi",3.4211092045,0.495844973199,"Alkaleri",48,6015.07823087772,"5_1"
"Bauchi","Bauchi",2.54455347074,0.301522989098,"Bauchi",94,3653.84986041155,"5_1"
"Bogoro","Bauchi",1.15482467613,0.0733498235836,"Bogoro",111,890.48379464043,"5_2"
"Damban","Bauchi",1.30062746502,0.0910380904158,"Damban",137,1098.22310496092,"5_3"
"Darazo","Bauchi",2.96767428468,0.252626211276,"Darazo",144,3052.47103224488,"5_3"
"Dass","Bauchi",1.06629748259,0.056768916334,"Dass",145,688.43311474344,"5_2"
"Gamawa","Bauchi",2.37350012442,0.243789586878,"Gamawa",221,2936.53689413816,"5_4"
"Ganjuwa","Bauchi",3.33549318297,0.404152705602,"Ganjuwa",222,4889.69278737059,"5_5"
"Giade","Bauchi",1.27114545822,0.0621317103927,"Giade",234,750.072591719088,"5_3"
"Itas/Gadau","Bauchi",2.31987904324,0.137162126404,"Itas/Gadau",360,1653.23583215343,"5_6"
